AMMIRAZIONE,DIVERTIMENTO,ECCITAZIONE,GIOIA,MERAVIGLIA,SODDISFAZIONE,SOLLIEVO,TENEREZZA,COMPASSIONE,PERPLESSITA,SORPRESA,AGITAZIONE,ANGOSCIA,DELUSIONE,DISAGIO,DISGUSTO,DISPREZZO,PAURA,RABBIA,TRISTEZZA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.00195664489096614,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.01043020778439,0,0.00195664489096614,0,0,0,0,0,0,0,0,0,0
0,0.00195664489096614,0.00195664489096614,0,0,0,0,0.0210872390932053,0.00195664489096614,0.01043020778439,0,0,0,0,0,0,0,0,0,0
0,0.01043020778439,0.0123868531384692,0,0,0,0,0.0383589710264601,0.01043020778439,0.0210872390932053,0,0,0,0,0,0,0,0,0,0
0,0.0191305937391261,0.0315174459513691,0,0,0,0,0.0657439552257828,0.0191305937391261,0.0344456803183017,0,0,0,0,0,0,0,0,0,0
0,0.0259721188142171,0.0516196324082532,0,0,0,0,0.091979518694356,0.0240154734601379,0.0468401868635344,0.00195664489096614,0,0,0,0,0,0,0,0,0
0,0.0361831546284929,0.0584688081114293,0,0.00195664489096614,0,0,0.119742058610999,0.0257529496227814,0.0621919001299977,0.01043020778439,0,0,0,0,0,0,0,0,0.00195664489096614
0,0.0449201607869336,0.056427398244053,0,0.01043020778439,0,0,0.141767805623512,0.0257895707527121,0.0823681365159551,0.0191305937391261,0,0,0,0,0,0,0,0,0.01043020778439
0,0.0471565709003155,0.0526247915620649,0,0.0171739502374992,0,0,0.162608827868945,0.0250977446467092,0.105577000366934,0.0240154734601379,0,0,0,0,0,0,0,0,0.0191305937391261
0,0.0395772622295938,0.0493888833891638,0,0.0135852647495218,0,0,0.194910616952577,0.0242545194649762,0.129941127583282,0.0277095949768606,0,0,0,0,0,0,0,0,0.0240154734601379
